# FORMATO: Giorno | Mese | Nome | Messaggio
1|1|Capodanno|Oggi è Capodanno!
6|1|Epifania|Tutte le feste si porta via...
25|4|Anniversario Liberazione|La vera festa della liberazione ci sarà quando ci saremo liberati di tutti gli stronzi di questo mondo...
1|5|Festa dei Lavoratori|Nonostante nella tua vita tu non faccia nulla, oggi fai festa anche tu...
15|8|Ferragosto|Tutti al mare!
1|11|Tutti i Santi|Figata, oggi è vacanza...
7|12|Sant'Ambrogio|Visto che siamo a Milano, oggi facciamo festa
8|12|Immacolata Concezione|Oggi è festa
25|12|Natale|Buon Natale !!!
26|12|Santo Stefano|Buon Santo Stefano...
